구분,부재_FL,부재_CD,부재ID,node_i_x,node_i_y,node_i_z,node_j_x,node_j_y,node_j_z,선행부재_FL,선행부재_CD,선행부재ID
FAB,1,CF001,1CF001,0,0,0,0,0,10000,,,
FAB,1,CF002,1CF002,0,24000,0,0,24000,10000,2,GF001,2GF001
FAB,1,CF003,1CF003,0,48000,0,0,48000,10000,2,GF010,2GF010
FAB,1,CF004,1CF004,10800,0,0,10800,0,10000,1,CF001,1CF001
FAB,1,CF005,1CF005,10800,24000,0,10800,24000,10000,2,GF005,2GF005
FAB,1,CF006,1CF006,10800,48000,0,10800,48000,10000,2,GF014,2GF014
FAB,1,CF007,1CF007,21600,0,0,21600,0,10000,2,GF019,2GF019
FAB,1,CF008,1CF008,21600,24000,0,21600,24000,10000,2,GF002,2GF002
FAB,1,CF009,1CF009,21600,48000,0,21600,48000,10000,2,GF011,2GF011
FAB,1,CF010,1CF010,32400,0,0,32400,0,10000,2,GF020,2GF020
FAB,1,CF011,1CF011,32400,24000,0,32400,24000,10000,2,GF003,2GF003
FAB,1,CF012,1CF012,32400,48000,0,32400,48000,10000,2,GF012,2GF012
FAB,1,CF013,1CF013,43200,0,0,43200,0,10000,2,GF021,2GF021
FAB,1,CF014,1CF014,43200,24000,0,43200,24000,10000,2,GF004,2GF004
FAB,1,CF015,1CF015,43200,48000,0,43200,48000,10000,2,GF013,2GF013
FAB,2,CF001,2CF001,0,0,10000,0,0,20000,2,GF022,2GF022
FAB,2,CF002,2CF002,0,24000,10000,0,24000,20000,3,GF001,3GF001
FAB,2,CF003,2CF003,0,48000,10000,0,48000,20000,3,GF010,3GF010
FAB,2,CF004,2CF004,10800,0,10000,10800,0,20000,2,CF001,2CF001
FAB,2,CF005,2CF005,10800,24000,10000,10800,24000,20000,3,GF005,3GF005
FAB,2,CF006,2CF006,10800,48000,10000,10800,48000,20000,3,GF014,3GF014
FAB,2,CF007,2CF007,21600,0,10000,21600,0,20000,3,GF019,3GF019
FAB,2,CF008,2CF008,21600,24000,10000,21600,24000,20000,3,GF002,3GF002
FAB,2,CF009,2CF009,21600,48000,10000,21600,48000,20000,3,GF011,3GF011
FAB,2,CF010,2CF010,32400,0,10000,32400,0,20000,3,GF020,3GF020
FAB,2,CF011,2CF011,32400,24000,10000,32400,24000,20000,3,GF003,3GF003
FAB,2,CF012,2CF012,32400,48000,10000,32400,48000,20000,3,GF012,3GF012
FAB,2,CF013,2CF013,43200,0,10000,43200,0,20000,3,GF021,3GF021
FAB,2,CF014,2CF014,43200,24000,10000,43200,24000,20000,3,GF004,3GF004
FAB,2,CF015,2CF015,43200,48000,10000,43200,48000,20000,3,GF013,3GF013
FAB,3,CF001,3CF001,0,0,20000,0,0,30000,3,GF022,3GF022
FAB,3,CF002,3CF002,0,24000,20000,0,24000,30000,4,GF001,4GF001
FAB,3,CF003,3CF003,0,48000,20000,0,48000,30000,4,GF010,4GF010
FAB,3,CF004,3CF004,10800,0,20000,10800,0,30000,3,CF001,3CF001
FAB,3,CF005,3CF005,10800,24000,20000,10800,24000,30000,4,GF005,4GF005
FAB,3,CF006,3CF006,10800,48000,20000,10800,48000,30000,4,GF014,4GF014
FAB,3,CF007,3CF007,21600,0,20000,21600,0,30000,4,GF019,4GF019
FAB,3,CF008,3CF008,21600,24000,20000,21600,24000,30000,4,GF002,4GF002
FAB,3,CF009,3CF009,21600,48000,20000,21600,48000,30000,4,GF011,4GF011
FAB,3,CF010,3CF010,32400,0,20000,32400,0,30000,4,GF020,4GF020
FAB,3,CF011,3CF011,32400,24000,20000,32400,24000,30000,4,GF003,4GF003
FAB,3,CF012,3CF012,32400,48000,20000,32400,48000,30000,4,GF012,4GF012
FAB,3,CF013,3CF013,43200,0,20000,43200,0,30000,4,GF021,4GF021
FAB,3,CF014,3CF014,43200,24000,20000,43200,24000,30000,4,GF004,4GF004
FAB,3,CF015,3CF015,43200,48000,20000,43200,48000,30000,4,GF013,4GF013
FAB,4,CF001,4CF001,0,0,30000,0,0,40000,4,GF022,4GF022
FAB,4,CF002,4CF002,0,24000,30000,0,24000,40000,5,GF001,5GF001
FAB,4,CF003,4CF003,0,48000,30000,0,48000,40000,5,GF010,5GF010
FAB,4,CF004,4CF004,10800,0,30000,10800,0,40000,4,CF001,4CF001
FAB,4,CF005,4CF005,10800,24000,30000,10800,24000,40000,5,GF005,5GF005
FAB,4,CF006,4CF006,10800,48000,30000,10800,48000,40000,5,GF014,5GF014
FAB,4,CF007,4CF007,21600,0,30000,21600,0,40000,5,GF019,5GF019
FAB,4,CF008,4CF008,21600,24000,30000,21600,24000,40000,5,GF002,5GF002
FAB,4,CF009,4CF009,21600,48000,30000,21600,48000,40000,5,GF011,5GF011
FAB,4,CF010,4CF010,32400,0,30000,32400,0,40000,5,GF020,5GF020
